,name,frequency,category
0,Aleppo,75,
1,Palmira,44,
2,Palmyra,40,
3,Apamea,31,
4,Hama,23,
5,Dura Europos,17,
6,Bosra,11,
7,Jebl Zawiya,11,
8,Castello del Saladino,9,
9,Yabroud,8,
10,Ebla,8,
11,Sergiopolis,8,
12,Burji Hadar,7,
13,Serjilla,7,
14,Qasr al-Hayr al-Sharqi,7,
15,Tartus,6,
16,Al Quanawat,6,
17,Mari,6,
18,Burjikeh,6,
19,Tell Barry,5,
20,Darkita,5,
21,Halabiyah,5,
22,Qalb Lauzeh,5,
23,Ugarit,5,
24,Damasco,5,
25,Krak dei Cavalieri,4,
26,Deir Mar Musa,4,
27,Kanatha Al Qanawat,3,
28,Ezraa,3,
29,Amrit,3,
30,Latakia (Laodicea),3,
31,Cyrrus,3,
32,Philippopolis,3,
33,Maalula,3,
34,Jable,3,
35,Atil,3,
36,San Simeone,2,
37,Seidnaya,2,
38,Dana nord,2,
39,Darkita Monaster,2,
40,Krak des Chevaliers,2,
41,Latakia,2,
42,Maarat An Numan,2,
43,Qala't al Hosn,2,
44,Tell Mardik (Ebla),1,
45,Imprecisato,1,
46,Banyas,1,
47,Halabiya,1,
48,Tell Barri,1,
49,Deir ez Zor,1,
50,Qalat Siman,1,
51,Mushennef,1,
52,Sergiopolis (Al Rassafa),1,
53,Chalcis ad Belum,1,
54,Dana sud,1,
55,Es Sanamein,1,
56,Casr al Banat,1,
57,Maaloula,1,
58,Fafirtin,1,
