,name,frequency,category
0,Palmyra,84,
1,Aleppo,75,
2,Apamea,31,
3,Hama,23,
4,Europos,17,
5,Dura,17,
6,Zawiya,11,
7,Jebl,11,
8,Bosra,11,
9,Castle,9,
10,Saladin,9,
11,Al,9,
12,Sergiopolis,9,
13,Yabroud,8,
14,Ebla,8,
15,Darkita,7,
16,Serjilla,7,
17,Tell,7,
18,Qasr,7,
19,al-Sharqi,7,
20,al-Hayr,7,
21,Burji,7,
22,Hadar,7,
23,Mari,6,
24,Tartus,6,
25,Chevaliers,6,
26,des,6,
27,Burjikeh,6,
28,Quanawat,6,
29,Krak,6,
30,Barry,5,
31,Ugarit,5,
32,Damascus,5,
33,Halabiyah,5,
34,Lauzeh,5,
35,Qalb,5,
36,Latakia,5,
37,Deir,5,
38,Mar,4,
39,Musa,4,
40,Dana,3,
41,Ezraa,3,
42,Atil,3,
43,Kanatha,3,
44,Maalula,3,
45,(Laodicea),3,
46,Jableh,3,
47,Amrit,3,
48,Cyrrus,3,
49,Philippopolis,3,
50,al,3,
51,Qanawat,3,
52,Qala't,2,
53,Saint,2,
54,north,2,
55,Seidnaya,2,
56,Numan,2,
57,Simeon,2,
58,Maarat,2,
59,Monaster,2,
60,Hosn,2,
61,An,2,
62,south,1,
63,Mardik,1,
64,Casr,1,
65,Halabiya,1,
66,Fafirtin,1,
67,Chalcis,1,
68,Belum,1,
69,Banat,1,
70,Barri,1,
71,Sanamein,1,
72,ad,1,
73,Unknown,1,
74,Rassafa),1,
75,Zor,1,
76,(Ebla),1,
77,Baniyas,1,
78,ez,1,
79,Qalat,1,
80,Mushennef,1,
81,Es,1,
82,Siman,1,
83,(Al,1,
84,Maaloula,1,
